extraction,dataset,layer,treatment,random_mean,random_lo,random_hi,randfix_mean,randfix_lo,randfix_hi,shuffled_mean,shuffled_lo,shuffled_hi,floor_mean_bag,gain_over_floor
mean,S1_1P,4,0.789,0.4956,0.4277,0.5665,0.5018,0.4327,0.5878,0.4986,0.392,0.6023,0.775,0.014
mean,S1_1P,5,0.7845,0.501,0.432,0.5778,0.4996,0.4367,0.562,0.4988,0.3969,0.5968,0.775,0.0095
mean,S1_1P,6,0.7955,0.5003,0.4342,0.5618,0.5007,0.4322,0.5724,0.4987,0.3932,0.597,0.775,0.0205
mean,S1_1P,7,0.7975,0.5013,0.4272,0.5778,0.5003,0.4247,0.5706,0.4974,0.3962,0.5966,0.775,0.0225
mean,S1_1P,8,0.804,0.5019,0.436,0.5693,0.5021,0.4257,0.5713,0.4973,0.3945,0.6005,0.775,0.029
mean,S1_1P,9,0.8015,0.4976,0.4302,0.5755,0.4987,0.4107,0.5793,0.498,0.3979,0.6013,0.775,0.0265
mean,S1_1P,10,0.804,0.5008,0.431,0.5758,0.5014,0.4161,0.5958,0.4974,0.3945,0.5988,0.775,0.029
mean,S1_1P,11,0.806,0.5025,0.4232,0.5818,0.5006,0.4179,0.5808,0.4982,0.391,0.6028,0.775,0.031
mean,S1_1P,12,0.803,0.4992,0.4259,0.5683,0.501,0.4042,0.5755,0.4977,0.386,0.5998,0.775,0.028
mean,S1_1P,13,0.8065,0.5027,0.4292,0.5783,0.4956,0.4105,0.578,0.4985,0.3919,0.5963,0.775,0.0315
mean,S1_1P,14,0.81,0.5004,0.4277,0.5798,0.4973,0.4124,0.579,0.4987,0.393,0.5963,0.775,0.035
mean,S1_1P,15,0.8075,0.498,0.4292,0.566,0.5011,0.413,0.5955,0.4989,0.3912,0.597,0.775,0.0325
mean,S1_1P,16,0.813,0.5011,0.4256,0.5788,0.5023,0.4007,0.6134,0.4991,0.385,0.5953,0.775,0.038
mean,S1_1P,17,0.804,0.5021,0.426,0.572,0.4995,0.4032,0.5895,0.4986,0.3887,0.5953,0.775,0.029
mean,S1_1P,18,0.807,0.5001,0.429,0.5738,0.5003,0.3979,0.6041,0.4992,0.3862,0.5935,0.775,0.032
mean,S1_1P,19,0.806,0.4975,0.4197,0.5703,0.4994,0.4045,0.5978,0.499,0.386,0.5945,0.775,0.031
mean,S1_1P,20,0.8175,0.4993,0.4217,0.5755,0.4975,0.3745,0.6051,0.4995,0.3862,0.5998,0.775,0.0425
mean,S1_1P,21,0.8245,0.5009,0.426,0.5753,0.5018,0.3872,0.6048,0.4988,0.3865,0.5996,0.775,0.0495
mean,S1_1P,22,0.82,0.4989,0.4205,0.5748,0.4981,0.3782,0.6031,0.498,0.388,0.6033,0.775,0.045
mean,S1_1P,23,0.813,0.4986,0.4167,0.5884,0.5025,0.3904,0.626,0.4982,0.3872,0.601,0.775,0.038
mean,S1_1P,24,0.8105,0.498,0.4154,0.5866,0.4989,0.3649,0.63,0.4978,0.3845,0.5983,0.775,0.0355
mean,S1_1P,25,0.8135,0.4998,0.42,0.5845,0.5004,0.3799,0.6168,0.4974,0.3822,0.5998,0.775,0.0385
