layer,arm_a,arm_b,n,d_acts,d_acts_p,d_floor,d_floor_p,gain,gain_lo,gain_hi,gain_p,clears,in_window
15,enact,report,24,-0.1177,0.074,0.054,0.001,-0.1717,-0.1428,0.1369,0.0106,1,1
15,enact,exit,24,-0.6085,0.0,-0.2317,0.0,-0.3768,-0.1911,0.1924,0.0,1,1
15,enact,true,24,-0.0933,0.0594,-0.1504,0.017,0.0572,-0.1448,0.145,0.4706,0,1
15,enact,neutral,24,0.4217,0.0,0.2406,0.0098,0.1812,-0.1701,0.1701,0.0356,1,1
15,report,exit,24,-0.4908,0.0,-0.2856,0.0,-0.2051,-0.1779,0.1742,0.0218,1,1
15,report,neutral,24,0.5395,0.0,0.1866,0.0376,0.3529,-0.2503,0.2434,0.0038,1,1
15,exit,neutral,24,1.0302,0.0,0.4722,0.0,0.558,-0.2911,0.2856,0.0,1,1
15,true,neutral,24,0.515,0.0,0.391,0.0,0.124,-0.2042,0.2075,0.2524,0,1
15,enact,enact_norecord,24,0.6826,0.0,-0.4973,0.0002,1.1799,-0.5882,0.584,0.0,1,1
15,enact_norecord,neutral,24,-0.2608,0.0402,0.7379,0.0006,-0.9987,-0.539,0.5458,0.0,1,1
15,neutral,neutral_b,24,0.0318,0.717,-0.041,0.5632,0.0728,-0.1813,0.1773,0.4462,0,1
15,enact,neutral_b,24,0.4535,0.0,0.1996,0.013,0.254,-0.1955,0.1936,0.008,1,1
16,enact,report,24,-0.3237,0.0,0.054,0.0004,-0.3777,-0.193,0.1958,0.0,1,1
16,enact,exit,24,-1.3788,0.0,-0.2317,0.0,-1.1471,-0.4869,0.492,0.0,1,1
16,enact,true,24,-0.298,0.0,-0.1504,0.0138,-0.1476,-0.1842,0.1848,0.1206,0,1
16,enact,neutral,24,0.502,0.0,0.2406,0.012,0.2614,-0.2153,0.214,0.0166,1,1
16,report,exit,24,-1.0551,0.0,-0.2856,0.0,-0.7694,-0.3605,0.353,0.0,1,1
16,report,neutral,24,0.8257,0.0,0.1866,0.0346,0.6391,-0.3547,0.3431,0.0,1,1
16,exit,neutral,24,1.8807,0.0,0.4722,0.0002,1.4085,-0.6373,0.622,0.0,1,1
16,true,neutral,24,0.8,0.0,0.391,0.0002,0.409,-0.2592,0.2582,0.0002,1,1
16,enact,enact_norecord,24,0.4855,0.0002,-0.4973,0.0008,0.9828,-0.5544,0.5463,0.0,1,1
16,enact_norecord,neutral,24,0.0164,0.8982,0.7379,0.0004,-0.7214,-0.4861,0.5042,0.0026,1,1
16,neutral,neutral_b,24,0.0542,0.541,-0.041,0.5582,0.0952,-0.162,0.1568,0.2564,0,1
16,enact,neutral_b,24,0.5561,0.0,0.1996,0.0166,0.3566,-0.2547,0.2538,0.0048,1,1
17,enact,report,24,-0.422,0.0,0.054,0.0008,-0.476,-0.2236,0.221,0.0,1,1
17,enact,exit,24,-1.1429,0.0,-0.2317,0.0,-0.9112,-0.3933,0.3934,0.0,1,1
17,enact,true,24,-0.1758,0.0318,-0.1504,0.0144,-0.0254,-0.1991,0.1954,0.8046,0,1
17,enact,neutral,24,0.8022,0.0,0.2406,0.0098,0.5616,-0.2837,0.2939,0.0,1,1
17,report,exit,24,-0.7209,0.0,-0.2856,0.0,-0.4353,-0.2274,0.2343,0.0002,1,1
17,report,neutral,24,1.2242,0.0,0.1866,0.0326,1.0376,-0.4902,0.4728,0.0,1,1
17,exit,neutral,24,1.9451,0.0,0.4722,0.0,1.4728,-0.6278,0.6142,0.0,1,1
17,true,neutral,24,0.978,0.0,0.391,0.0,0.587,-0.3246,0.3202,0.0,1,1
17,enact,enact_norecord,24,0.7888,0.0,-0.4973,0.0008,1.2861,-0.617,0.6243,0.0,1,1
17,enact_norecord,neutral,24,0.0134,0.9008,0.7379,0.0002,-0.7245,-0.4812,0.4631,0.001,1,1
17,neutral,neutral_b,24,-0.0554,0.4336,-0.041,0.5678,-0.0144,-0.1451,0.144,0.8526,0,1
17,enact,neutral_b,24,0.7468,0.0,0.1996,0.0176,0.5472,-0.291,0.2992,0.0002,1,1
18,enact,report,24,-0.5826,0.0,0.054,0.0006,-0.6366,-0.276,0.2834,0.0,1,0
18,enact,exit,24,-0.9486,0.0,-0.2317,0.0,-0.7169,-0.3128,0.3246,0.0,1,0
18,enact,true,24,-0.0189,0.8048,-0.1504,0.0168,0.1315,-0.2025,0.194,0.206,0,0
18,enact,neutral,24,0.7122,0.0,0.2406,0.01,0.4717,-0.3131,0.3034,0.0018,1,0
18,report,exit,24,-0.366,0.0004,-0.2856,0.0,-0.0804,-0.1307,0.1288,0.233,0,0
18,report,neutral,24,1.2949,0.0,0.1866,0.0324,1.1083,-0.5279,0.5388,0.0,1,0
18,exit,neutral,24,1.6609,0.0,0.4722,0.0002,1.1886,-0.5862,0.5599,0.0,1,0
18,true,neutral,24,0.7311,0.0,0.391,0.0,0.3402,-0.2765,0.2735,0.0154,1,0
18,enact,enact_norecord,24,0.5077,0.0,-0.4973,0.0006,1.0051,-0.525,0.5314,0.0,1,0
18,enact_norecord,neutral,24,0.2045,0.0904,0.7379,0.0,-0.5334,-0.4442,0.4447,0.016,1,0
18,neutral,neutral_b,24,-0.1025,0.2564,-0.041,0.5612,-0.0615,-0.1757,0.1718,0.5082,0,0
