item,arm,layer,readout,value
refusal04,enact_norecord,31,full,-15.607528686523438
refusal05,enact,31,full,-6.190219879150391
refusal05,report,31,full,-3.0462069511413574
refusal05,exit,31,full,-10.264878273010254
refusal05,true,31,full,3.319808006286621
refusal05,neutral,31,full,-1.2413712739944458
refusal05,enact_norecord,31,full,-22.221946716308594
refusal06,enact,31,full,-7.478300094604492
refusal06,report,31,full,-6.594110012054443
refusal06,exit,31,full,-8.086431503295898
refusal06,true,31,full,-0.7462763786315918
refusal06,neutral,31,full,-3.7681689262390137
refusal06,enact_norecord,31,full,-13.076375007629395
stance01,enact,31,full,-8.367952346801758
stance01,report,31,full,-5.080189228057861
stance01,exit,31,full,-9.922532081604004
stance01,true,31,full,-1.290819525718689
stance01,neutral,31,full,-8.587553024291992
stance01,enact_norecord,31,full,-14.469958305358887
stance02,enact,31,full,-15.32660961151123
stance02,report,31,full,-7.625083923339844
stance02,exit,31,full,-11.90079402923584
stance02,true,31,full,-5.583948612213135
stance02,neutral,31,full,-0.04621898755431175
stance02,enact_norecord,31,full,-10.006300926208496
stance03,enact,31,full,-13.203688621520996
stance03,report,31,full,-8.232791900634766
stance03,exit,31,full,-13.56206226348877
stance03,true,31,full,-7.039097309112549
stance03,neutral,31,full,-5.328229904174805
stance03,enact_norecord,31,full,-20.65815544128418
stance04,enact,31,full,-6.093832015991211
stance04,report,31,full,-1.797001838684082
stance04,exit,31,full,-10.663422584533691
stance04,true,31,full,0.03716462850570679
stance04,neutral,31,full,0.2565253973007202
stance04,enact_norecord,31,full,-11.771831512451172
stance05,enact,31,full,-5.918997764587402
stance05,report,31,full,-2.4688541889190674
stance05,exit,31,full,-12.50855827331543
stance05,true,31,full,-1.9973088502883911
stance05,neutral,31,full,-6.434778690338135
stance05,enact_norecord,31,full,-21.506437301635742
stance06,enact,31,full,-9.642754554748535
stance06,report,31,full,1.0254545211791992
stance06,exit,31,full,-11.253358840942383
stance06,true,31,full,-1.0133095979690552
stance06,neutral,31,full,-7.180356502532959
stance06,enact_norecord,31,full,-10.862603187561035
limit01,enact,31,full,-7.779393672943115
limit01,report,31,full,-13.047589302062988
limit01,exit,31,full,-10.815698623657227
limit01,true,31,full,-5.306929111480713
limit01,neutral,31,full,-1.4580090045928955
limit01,enact_norecord,31,full,-9.622601509094238
limit02,enact,31,full,-8.130797386169434
limit02,report,31,full,-9.372233390808105
limit02,exit,31,full,-8.883747100830078
limit02,true,31,full,-6.3647332191467285
limit02,neutral,31,full,-9.130965232849121
limit02,enact_norecord,31,full,-23.631454467773438
limit03,enact,31,full,-5.042069435119629
limit03,report,31,full,-11.799816131591797
limit03,exit,31,full,-10.176004409790039
limit03,true,31,full,-2.3287339210510254
limit03,neutral,31,full,-4.215258598327637
limit03,enact_norecord,31,full,-6.26539421081543
limit04,enact,31,full,-1.5972375869750977
limit04,report,31,full,4.038713455200195
limit04,exit,31,full,-0.5838517546653748
limit04,true,31,full,-3.810089111328125
limit04,neutral,31,full,-9.74094009399414
limit04,enact_norecord,31,full,-14.469040870666504
limit05,enact,31,full,-4.678685188293457
limit05,report,31,full,-5.525771617889404
limit05,exit,31,full,-3.7852492332458496
limit05,true,31,full,-2.9401333332061768
limit05,neutral,31,full,-7.3944501876831055
limit05,enact_norecord,31,full,-17.982685089111328
